,hhld_id,drvr_cnt,veh_cnt,min_age,hoh_age,max_age,avg_age,min_mon_lic,hoh_mon_lic,max_mon_lic,avg_mon_lic,cnt_yth,cnt_female,cnt_male,cnt_married,cnt_single,hoh_married,cnt_auto,cnt_mtrcyc,avg_majr_viol,cnt_majr_viol,cnt_minr_viol,avg_minr_viol,cnt_lic_susp,curnt_insurer,time_w_carr,inforce_ind,prior_bi,fire_ind,homeowner_ind,veh_lien_cnt,veh_lease_cnt,veh_own_cnt,monthly_pay_ind,veh_w_coll_cnt,veh_w_comp_cnt,veh_w_ers_cnt,curnt_bi_low,curnt_bi_upp,credit_score,zipcode,premium,loss_amount,loss_ratio,fault_claims,not_at_fault_claims,future_clm_ind
0,1,1,1,57.96,57.96,57.96,57.96,474.9,446.287,446.287,446.287,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,GEICO,0.5,1,100000.0,0,0,,0,0,1,1,1,1,25,25,698.933,51365,167.0,0.0,0.0,0.0,0.0,0
1,2,1,1,43.274,43.274,43.274,43.274,327.286,327.286,327.286,327.286,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,GEICO,0.0,1,25000.0,1,0,,0,0,1,1,1,1,100,100,703.696,16107,120.24,0.0,0.0,0.0,1.0,0
2,3,2,1,25.235,32.296,32.296,28.766,110.816,195.557,195.557,153.187,0,1,1,2,0,True,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,1,,0,1,1,1,1,1,25,25,804.472,68294,120.24,0.0,0.0,0.0,0.0,0
3,4,1,1,58.391,58.391,58.391,58.391,508.698,508.698,508.698,508.698,0,0,1,1,0,True,1,0,0.0,0,0,0.0,0,GEICO,1.0,1,25000.0,0,0,,0,0,0,1,1,1,25,25,648.401,45689,167.0,0.0,0.0,0.0,0.0,0
4,5,2,1,40.654,53.83,53.83,47.242,295.852,453.966,453.966,374.909,0,0,2,2,0,True,1,0,0.0,0,0,0.0,0,OTHER,5.0,1,25000.0,1,1,,0,1,1,1,1,1,25,25,697.085,36529,150.3,0.0,0.0,0.0,0.0,0
5,6,1,1,46.833,46.833,46.833,46.833,369.994,369.994,369.994,369.994,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,1,0.0,0,1,0,1,1,1,25,25,682.153,87035,150.3,0.0,0.0,0.0,0.0,0
6,7,1,1,57.777,57.777,57.777,57.777,501.32,501.32,501.32,501.32,0,1,0,1,0,True,1,0,0.0,0,1,1.0,0,PROGRESSIVE,4.0,1,50000.0,0,0,,0,1,0,1,1,1,50,50,583.128,39952,167.0,0.0,0.0,0.0,0.0,0
7,8,3,4,16.0,54.036,70.049,46.695,0.0,456.434,648.583,368.339,1,1,2,2,1,True,4,0,0.0,0,0,0.0,0,MISSING,,0,,0,0,,0,2,1,0,0,0,100,100,758.25,91804,272.0,0.0,0.0,0.0,0.0,0
8,9,2,2,31.329,55.573,55.573,43.451,183.95,474.875,474.875,329.412,0,1,1,2,0,True,2,0,0.0,0,0,0.0,0,MISSING,,0,,1,1,,1,0,1,0,0,0,50,50,747.34,36529,129.6,0.0,0.0,0.0,0.0,0
9,10,1,1,53.451,53.451,53.451,53.451,449.411,449.411,449.411,449.411,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,OTHER,0.5,1,25000.0,1,0,,0,1,0,1,1,1,100,100,673.39,36517,150.3,0.0,0.0,0.0,0.0,0
10,11,1,1,65.386,65.386,65.386,65.386,592.634,592.634,592.634,592.634,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,PROGRESSIVE,5.0,1,25000.0,1,0,,0,0,0,1,1,0,50,50,560.18,41568,145.8,0.0,0.0,0.0,0.0,0
11,12,1,1,33.851,33.851,33.851,33.851,214.212,214.212,214.212,214.212,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,ALLSTATE,5.0,1,100000.0,0,0,,0,1,0,1,1,1,25,25,536.947,59004,167.0,0.0,0.0,0.0,1.0,0
12,13,1,1,19.618,19.618,19.618,19.618,43.418,43.418,43.418,43.418,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,OTHER,1.5,1,100000.0,0,0,,0,0,1,1,1,1,50,50,630.149,22476,167.0,0.0,0.0,1.0,0.0,0
13,14,1,1,66.747,66.747,66.747,66.747,608.97,608.97,608.97,608.97,0,1,0,0,1,False,0,1,0.0,0,0,0.0,0,GEICO,0.5,1,25000.0,0,1,,0,1,0,1,0,1,25,25,711.963,28035,124.0,0.0,0.0,0.0,0.0,0
14,15,1,1,65.573,65.573,65.573,65.573,594.871,594.871,594.871,594.871,0,1,0,0,1,False,1,0,0.0,0,2,2.0,0,MISSING,,0,,1,0,,0,0,0,0,1,1,25,25,615.128,57650,105.3,0.0,0.0,0.0,0.0,0
15,16,1,1,53.965,53.965,53.965,53.965,455.577,455.577,455.577,455.577,0,0,1,0,1,False,1,0,0.0,0,3,3.0,0,MISSING,,0,,1,0,,0,1,0,1,1,1,100,100,543.872,41568,150.3,0.0,0.0,0.0,0.0,0
16,17,1,2,47.251,47.251,47.251,47.251,375.008,375.008,375.008,375.008,0,1,0,0,1,False,2,0,0.0,0,0,0.0,0,OTHER,2.5,1,25000.0,0,0,,0,1,0,2,1,1,25,25,718.552,58368,237.6,0.0,0.0,0.0,0.0,0
17,18,1,1,32.001,32.001,32.001,32.001,192.011,192.011,192.011,192.011,0,1,0,0,1,False,1,0,0.0,0,1,1.0,0,PROGRESSIVE,1.5,1,50000.0,1,0,,0,0,1,1,1,1,25,25,606.939,40320,150.3,0.0,0.0,0.0,0.0,0
